|trims|,|Terima Kasih|
|trm|,|terima|
|trnyt|,|ternyata|
|trs|,|terus|
|trus|,|terus|
|trutama|,|terutama|
|trz|,|terus|
|ts|,|penulis|
|tsb|,|tersebut|
|tst|,|tahu sama tahu|
|ttd|,|tertanda|
|ttg|,|tentang|
|ttp|,|tetap|
|tuch|,|tuh|
|tuh|,|itu|
|tuir|,|tua|
|tuwh|,|tuh|
|tw|,|tahu|
|tyap|,|tiap|
|u|,|kamu|
|u/|,|untuk|
|ud|,|sudah|
|uda|,|sudah|
|udah|,|sudah|
|udh|,|sudah|
|ujg|,|ujung|
|ujung2nya|,|ujung-ujungnya|
|ul|,|ulangan|
|ultah|,|ulang tahun|
|unyu|,|lucu|
|unyu|,|menggemaskan|
|uplot|,|unggah|
|uppu|,|apa|
|urang|,|saya|
|urg|,|saya|
|usah|,|perlu|
|utang|,|hutang|
|utk|,|untuk|
|utul|,|ujian tertulis|
|valas|,|valuta asing|
|vol|,|volume|
|w/|,|dengan|
|wad|,|buat|
|wadir|,|wakil direktur|
|wagub|,|wakil gubernur|
|wamil|,|wajib militer|
|waria|,|wanita pria|
|warkop|,|warung kopi|
|warnet|,|warung internet|
|warteg|,|warung tegal|
|wartel|,|warung telekomunikasi|
|wat|,|buat|
|wk|,|tertawa|
|wkt|,|waktu|
|wkwk|,|tertawa|
|wtf|,|what the fuck|
|wth|,|what the hell|
|xixixi|,|tertawa|
|y|,|kenapa|
|ya|,|iya|
|yad|,|yang akan datang|
|yap|,|iya|
|yapz|,|iya|
|yaudah|,|ya sudah|
|yauwda|,|ya sudah|
