user,text,latitude,longitude
GaaandhiiSA,"???? (at Angkringan ""Pojok"" Gedong Kuning) ? https://t.co/KBpcV39NOf",-7.80206,110.4017
DANANsaja,"Bukan #gendut, hanya lebih nampak dari kejauhan  dek (with Eko at Daerah Istimewa Yogyakarta) [pic] ? https://t.co/5jm18UQYMx",-7.80141,110.35825
ratu_chitato,KRUPUK KE-PO ??OTW JAK-SEL ?  #KalianKapanOrder? @ Yogyakarta https://t.co/yKFZ1iYSVL,-7.80138889,110.36444444
leonardosandy,"menunggu senja wkw (with Inovani at The Embassy of ""DIRTY CHICKS"") [pic] ? https://t.co/Z6A9n47ILG",-7.77263,110.40507
lenna_djarody,"Sebelum take off... senyum yg manis dulu... ???
Babaaaayy uhuk uhuk... ????

#mytrip? https://t.co/t4Vdi2fVOD",-7.78805556,110.43166667
anisawardhana,dhewek. (at @infosuperindo) ? https://t.co/Iw72gw9w9M,-7.7736,110.40736
unkl_d,Pisan-pisan rodo nggaia (at Gaia Cosmo Hotel) ? https://t.co/HuoR4sqBsE,-7.79894,110.39256
jogjaenglish,"Try to call your #bestfriend with these #vocab ?
.
.
.
#vocabulary #vocab #jogjacourse? https://t.co/EOmtHmVjje",-7.7761445,110.40733337
itsagnezt,Ini baru namanya nasi uduk.. Ini baru namanya sambel bawang.. Ini baru? (at Sambal Bawang Bu Santi) [pic] ? https://t.co/j9hS65sqam,-7.77393,110.40924
FadliFadilRR,Muka muka kekenyangan ? (with Ernandya and Huma at Dixie Easy Dining) [pic] ? https://t.co/EKxiZHN480,-7.78419,110.42225
si_abdi,With Ayu  at Tempo Gelato [pic] ? https://t.co/NauzTZHCKn,-7.8194,110.37254
oktavianexoosh_,jangan salfok ke Wi-Fi ya. @ SMA Negeri 1 Teladan Yogyakarta https://t.co/KnQRTESZV6,-7.7871099,110.3530579
studiokopi,"Fressshh arabica Gunung Tilu Natural
.
.
#studiokopi
#jogjakarta
#jogja
#yogyakarta @ Studio? https://t.co/0Knwopj353",-7.77682,110.41556
faruq_serenade,raisa6690 ngopi yuk ?? @ The Westlake Resort Yogyakarta https://t.co/pW9gimjDRW,-7.80157,110.3723
Theodoradinda_,Lupakan pts? (with Yustina at The Jayakarta Yogyakarta Hotel) ? https://t.co/v4PbCeUFyU,-7.78466,110.42014
FredyHendriana,"Sebelum laga .

#explorejogja #malioboro #persebaya? https://t.co/kxpaqzz5SV",-7.79958,110.410311
Diimutt,Sepoi ? (at Wisma Atlet) [pic] ? https://t.co/rwkf611lGg,-7.80657,110.38039
survivegarage,"Yeayy 
finally, she's be part of WoW Festival, FCAC, Melbourne, Australia. More than a month? https://t.co/hFu3uXdRrX",-7.834683,110.3924
Via_Rizka,At Ngocok Ngombe Cokelat ? https://t.co/T4ASfwdqB2,-7.77365,110.38618
apridhaynst,"terimakasih untuk rasa dekat ini. Meski hanya sesaat, aku tak akan lupa... 
?
?
?
? : vivizein @? https://t.co/BlJkiBcKHh",-7.810151,110.358946
nungkyHW,Makan dulu biar sehat ?? (at Kedai Ketik | @kedaiketik) [pic] ? https://t.co/3XFStblJD1,-7.78018,110.40041
andrabedy,"Bismillah ???
Berangkat ke barat menimbak ilmuk ?? (at @kai121) ? https://t.co/YXuA3Sli5h",-7.79016,110.37576
TiarNdost,Sore sehat (at Pro 2 Futsal (RRI Gejayan)) ? https://t.co/RKnUHEyS2R,-7.77962,110.38818
wiratamapray,?? ? December by Neck Deep (at @kai121) ? https://t.co/ap9WdJCr3c,-7.78849,110.37602
oxyanvillanova,~ kumpul bintil..hahaha.. (with Felicia at @sbuxindonesia) ? https://t.co/swfnS3E6DB,-7.7825,110.40149
AyahKimTan,Secangkir kopi instan di sore hari... @ Jogja https://t.co/BJyCASA0aw,-7.78764358,110.36361467
ardhianputra_,?? (with monikametta and edo at Hangiri Sushi Japanese Fusion) ? https://t.co/guXFPWG3Re,-7.78102,110.41506
